,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29
m15,0.6148775816,0.9093605876,0.9236918688,0.935135901,0.9506431818,0.9136856198,0.9563164711,0.8354015946,0.9395190477,0.9671622515,0.9440931082,0.8865600228,0.92018646,0.9594741464,0.9605665207,1.0,0.9655485153,0.9573037028,0.9604760408,0.9678394198,0.9565194845,0.9500787854,0.963488102,0.9095599651,0.9379377365,0.9556242228,0.9463989735,0.9345679283,0.8660673499,0.9553195834
m16,0.609734118,0.9036273956,0.9322020411,0.926607132,0.9519405365,0.9245465398,0.9474891424,0.848530829,0.9381890893,0.9603931904,0.9510326982,0.8839567304,0.9126802087,0.9591614604,0.9667807817,0.9655485153,1.0,0.9683092237,0.9619700909,0.9720008373,0.9668732285,0.9548516273,0.9674360156,0.9220122695,0.9535809755,0.9657062888,0.965705812,0.9486230016,0.8876499534,0.9670716524
m17,0.6055029035,0.8884356618,0.9291137457,0.9226911664,0.9431291819,0.9222630858,0.9393432736,0.8466249704,0.9492512345,0.9600176215,0.95805794,0.8533706665,0.9018300772,0.9549679756,0.9700873494,0.9573037028,0.9683092237,1.0,0.9664077759,0.9693296552,0.9653425217,0.9416433573,0.9624933004,0.924323976,0.965405643,0.9629446268,0.9649713039,0.9558547735,0.8980799317,0.9673294425
m18,0.5935276151,0.8869347572,0.92568928,0.9188024402,0.935167253,0.8981559277,0.9341534376,0.8430430889,0.9287045598,0.9474298358,0.9409026504,0.8666729331,0.9117749929,0.9582909942,0.9501860738,0.9604760408,0.9619700909,0.9664077759,1.0,0.9671902657,0.9614375234,0.9599921703,0.9688149095,0.9256410003,0.9554850459,0.9677545428,0.9602366686,0.9500211477,0.889845252,0.9619728923
m19,0.6001218557,0.8941434622,0.9238052368,0.9193792939,0.9392423034,0.9070594907,0.9395524859,0.8442813158,0.9333078265,0.9581775069,0.9419562221,0.87104249,0.9196102023,0.9545967579,0.9612428546,0.9678394198,0.9720008373,0.9693296552,0.9671902657,1.0,0.9701868892,0.9586455822,0.9729978442,0.9327450395,0.9619408846,0.9715981483,0.9684240818,0.9563814402,0.8943360448,0.9690921903
m20,0.5912908912,0.8867095113,0.9283501506,0.9192681313,0.9379953146,0.9035554528,0.930239141,0.8345767856,0.9276815057,0.9508046508,0.9352164268,0.8681619763,0.9229779243,0.9513457417,0.955022037,0.9565194845,0.9668732285,0.9653425217,0.9614375234,0.9701868892,1.0,0.9575950503,0.9732314348,0.9533398151,0.9675534964,0.9715861082,0.9751024246,0.9675799012,0.8925023079,0.9688444734
m21,0.5824197531,0.8797159195,0.9175415635,0.9040333629,0.9227269888,0.8853996992,0.9170571566,0.8318814039,0.8972268701,0.9267297387,0.9111932516,0.8745344877,0.9174667001,0.9531608224,0.9244146347,0.9500787854,0.9548516273,0.9416433573,0.9599921703,0.9586455822,0.9575950503,1.0,0.9681754112,0.9378475547,0.9431629777,0.9643520117,0.9572239518,0.9486835599,0.8734596372,0.9497505426
m22,0.587030828,0.8869767785,0.9242628217,0.917508781,0.933883369,0.8955298662,0.9315658808,0.8325386643,0.9250549078,0.9478067756,0.9322403073,0.8756775856,0.9265420437,0.9543484449,0.9503008127,0.963488102,0.9674360156,0.9624933004,0.9688149095,0.9729978442,0.9732314348,0.9681754112,1.0,0.9523912072,0.9625818133,0.9753567576,0.9747850895,0.9662393928,0.8877311945,0.9658840895
m23,0.5383332372,0.8324141502,0.9096136689,0.8861966133,0.8913570642,0.8521994352,0.8785552382,0.8213189244,0.889662683,0.8984496593,0.8808209896,0.8382938504,0.9019148946,0.9110049605,0.9003263116,0.9095599651,0.9220122695,0.924323976,0.9256410003,0.9327450395,0.9533398151,0.9378475547,0.9523912072,1.0,0.9455638528,0.948453486,0.9578132033,0.9646385312,0.8806132078,0.9245582223
m24,0.5628949404,0.8496342301,0.9062730074,0.8885017037,0.9133933187,0.8849290609,0.9037140012,0.8248471022,0.9118172526,0.9319635034,0.9238581061,0.8339608908,0.895278573,0.936317265,0.9451839328,0.9379377365,0.9535809755,0.965405643,0.9554850459,0.9619408846,0.9675534964,0.9431629777,0.9625818133,0.9455638528,1.0,0.9685861468,0.9733214974,0.9629573822,0.9004878998,0.9594168067
m25,0.5808316469,0.8732653856,0.9187318087,0.9061336517,0.9290117621,0.8938448429,0.9191508293,0.8370588422,0.9178057313,0.9399236441,0.9270555973,0.8598976731,0.9155116081,0.9528451562,0.9475611448,0.9556242228,0.9657062888,0.9629446268,0.9677545428,0.9715981483,0.9715861082,0.9643520117,0.9753567576,0.948453486,0.9685861468,1.0,0.9733817577,0.9627814293,0.8972357512,0.9641744494
m26,0.5604410768,0.8623933196,0.9176308513,0.8986722827,0.9228607416,0.8918389082,0.9114316106,0.8348430395,0.9147945642,0.9348257184,0.9231069684,0.8529834151,0.9070680737,0.9408453703,0.948336482,0.9463989735,0.965705812,0.9649713039,0.9602366686,0.9684240818,0.9751024246,0.9572239518,0.9747850895,0.9578132033,0.9733214974,0.9733817577,1.0,0.9737951159,0.9038876891,0.9681518078
m27,0.562290132,0.8579497933,0.9177283049,0.9026952982,0.9116076827,0.8791842461,0.9026950598,0.8321093917,0.917106688,0.927180469,0.917773962,0.8454921246,0.9070101976,0.9286088347,0.9342138767,0.9345679283,0.9486230016,0.9558547735,0.9500211477,0.9563814402,0.9675799012,0.9486835599,0.9662393928,0.9646385312,0.9629573822,0.9627814293,0.9737951159,1.0,0.894026041,0.9538033009
m28,0.533844173,0.8003904223,0.8623577356,0.8358953595,0.8563013077,0.8374179602,0.8457886577,0.879526794,0.8543123603,0.8633167148,0.8610638976,0.7865040302,0.8425425887,0.8644658327,0.8737182617,0.8660673499,0.8876499534,0.8980799317,0.889845252,0.8943360448,0.8925023079,0.8734596372,0.8877311945,0.8806132078,0.9004878998,0.8972357512,0.9038876891,0.894026041,1.0,0.886012733
m29,0.5975551009,0.8852856159,0.917330265,0.9057098031,0.9309609532,0.9022490382,0.9256474972,0.8271712661,0.9187562466,0.9430792928,0.936047852,0.8631850481,0.9025226831,0.945666492,0.9537830353,0.9553195834,0.9670716524,0.9673294425,0.9619728923,0.9690921903,0.9688444734,0.9497505426,0.9658840895,0.9245582223,0.9594168067,0.9641744494,0.9681518078,0.9538033009,0.886012733,1.0
