Benchmark,BestSingle_VAL,Router_VAL,Oracle_VAL,BestSingle_TEST,Router_TEST,Oracle_TEST
ARC-Challenge,0.5663716793,0.6194690466,0.7256637216,0.633928597,0.6696428657,0.7678571343
ARC-Easy,0.7438016534,0.7520661354,0.7975206375,0.7975206375,0.8140496016,0.8677685857
GPQA,0.25,0.25,0.8500000238,0.1363636404,0.4090909064,0.9090909362
GSM8K,0.961538434,0.9692307711,1.0,0.893617034,0.9432623982,0.9858155847
HumanEval,0.7333333492,0.5333333611,0.7333333492,0.571428597,0.7142857313,0.7857142687
MMLU,0.4880000055,0.5236363411,0.6261818409,0.4915750921,0.5457875729,0.6336996555
COMBINED,0.5572559237,0.5862796903,0.682849586,0.5654008389,0.6165611744,0.7020041943
