Benchmark,BestSingle_VAL,Router_VAL,Oracle_VAL,BestSingle_TEST,Router_TEST,Oracle_TEST
ARC-Challenge,0.5663716793,0.6194690466,0.7256637216,0.633928597,0.6696428657,0.7678571343
ARC-Easy,0.7438016534,0.7520661354,0.7975206375,0.7975206375,0.8140496016,0.8677685857
GSM8K,0.961538434,0.9692307711,1.0,0.893617034,0.9432623982,0.9858155847
HumanEval,0.7333333492,0.5333333611,0.7333333492,0.571428597,0.7142857313,0.7857142687
MMLU,0.4880000055,0.5236363411,0.6261818409,0.4915750921,0.5457875729,0.6336996555
COMBINED,0.6986090243,0.6795471311,0.7765399098,0.6776139915,0.7374056339,0.8081710458
