Benchmark,BestSingle_VAL,Router_VAL,Oracle_VAL,BestSingle_TEST,Router_TEST,Oracle_TEST
ARC-Challenge,0.5945945978,0.6306306124,0.6666666865,0.6206896305,0.6551724076,0.7068965435
ARC-Easy,0.723577261,0.7479674816,0.7845528722,0.7966101766,0.8474576473,0.8771186471
GSM8K,0.9568345547,0.9712229967,1.0,0.9142857194,0.9357143044,0.9785714149
HumanEval,0.5333333611,0.6666666865,0.7333333492,0.2857142985,0.5,0.7857142687
MMLU,0.4692082107,0.5197947025,0.610703826,0.4783882797,0.5538461804,0.6527472734
COMBINED,0.6555095971,0.7072564959,0.7590513468,0.6191376209,0.6984381079,0.8002096295
