Benchmark,BestSingle_VAL,Router_VAL,Oracle_VAL,BestSingle_TEST,Router_TEST,Oracle_TEST
ARC-Challenge,0.5742574334,0.7029703259,0.7920792103,0.5966386795,0.6386554837,0.7563025355
ARC-Easy,0.8034934402,0.8471615911,0.9170305729,0.7935779691,0.8256880641,0.9036697149
GSM8K,0.9354838729,0.9483870864,0.9806451797,0.9682539701,0.9841269851,1.0
HumanEval,0.75,0.6875,0.875,0.5,0.5625,0.8125
MMLU,0.5018208027,0.5600873828,0.7130371332,0.4931997061,0.551181078,0.710093081
COMBINED,0.7130111098,0.7492212772,0.8555584192,0.670334065,0.7124303222,0.8365130663
